ET_dice,ET_hd95,TC_dice,TC_hd95,WT_dice,WT_hd95,case,fold,gt_ET_vox,gt_TC_vox,gt_WT_vox,mean_dice,mean_hd95,pred_ET_vox,pred_TC_vox,pred_WT_vox,trainer
0.8558727987690203,1.0,0.9123934609473243,1.0,0.7715008044127787,4.58257569495584,BraTS20_Training_003.nii.gz,3,2998,3731,29807,0.8465890213763745,2.1941918983186133,2851,3426,35458,nnUNetTrainerUMambaEnc_150epochs
0.8989422294548414,1.0,0.9335385922072407,11.013608305156145,0.9205958516011589,2.0,BraTS20_Training_007.nii.gz,3,6159,9557,39772,0.9176922244210803,4.671202768385382,6131,9281,38234,nnUNetTrainerUMambaEnc_150epochs
0.8448441368160461,1.0,0.9169340337763988,3.0,0.9078427706760768,3.1622776601683795,BraTS20_Training_014.nii.gz,3,18255,27568,80396,0.8898736470895072,2.3874258867227933,21331,29158,90768,nnUNetTrainerUMambaEnc_150epochs
0.9058566409383905,1.0,0.9666852782430672,1.0,0.9252516233233319,2.0,BraTS20_Training_025.nii.gz,3,17433,36909,73437,0.9325978475015965,1.3333333333333333,18714,38313,78874,nnUNetTrainerUMambaEnc_150epochs
0.9235947492426793,1.0,0.9527139385153285,1.0,0.9578897070535047,1.0,BraTS20_Training_033.nii.gz,3,16009,24355,122656,0.9447327982705042,1.0,16672,22551,122201,nnUNetTrainerUMambaEnc_150epochs
0.8743029527379103,1.0,0.9486807945420516,1.0,0.9190851863963375,1.7320508075688772,BraTS20_Training_052.nii.gz,3,10897,16886,45951,0.9140229778920997,1.2440169358562925,10981,16240,51905,nnUNetTrainerUMambaEnc_150epochs
0.9062723224463122,1.0,0.9611510237100098,1.4142135623730951,0.9411139228270289,2.0,BraTS20_Training_062.nii.gz,3,30143,50151,142132,0.936179089661117,1.4714045207910318,35654,53687,147529,nnUNetTrainerUMambaEnc_150epochs
0.8349392062399633,1.0,0.9267865824015556,1.4142135623730951,0.9475608500120155,1.4142135623730951,BraTS20_Training_066.nii.gz,3,8665,15461,59246,0.9030955462178448,1.2761423749153968,8771,15394,57270,nnUNetTrainerUMambaEnc_150epochs
0.7621206482389958,1.4142135623730951,0.8603472022521227,3.3166247903554,0.9207573880729074,2.23606797749979,BraTS20_Training_070.nii.gz,3,12743,35286,57830,0.8477417461880087,2.322302110076095,16814,30785,55190,nnUNetTrainerUMambaEnc_150epochs
0.665905457867093,3.605551275463989,0.8725007244277021,1.4142135623730951,0.8467874794069192,2.449489742783178,BraTS20_Training_079.nii.gz,3,1470,3609,7285,0.7950645539005714,2.4897515268734205,2909,3293,5462,nnUNetTrainerUMambaEnc_150epochs
0.8497416974169741,1.4142135623730951,0.8472926384100589,3.1622776601683795,0.8993635189925027,2.23606797749979,BraTS20_Training_080.nii.gz,3,6688,10560,43464,0.8654659516065119,2.2708530666804214,6862,9164,44834,nnUNetTrainerUMambaEnc_150epochs
0.7141313954630266,2.8284271247461903,0.9014066817382567,1.7320508075688772,0.9050882658359294,2.0,BraTS20_Training_085.nii.gz,3,3691,7813,36221,0.8402087810124043,2.186825977438356,6492,8111,36004,nnUNetTrainerUMambaEnc_150epochs
0.3740122914837577,10.198039027185569,0.549468162611103,7.615773105863909,0.5982424399069527,9.899494936611665,BraTS20_Training_087.nii.gz,3,406,7516,26806,0.5072409646672711,9.23776902322038,733,6210,11884,nnUNetTrainerUMambaEnc_150epochs
0.8416129845716512,1.4142135623730951,0.9169464832258639,2.23606797749979,0.9735924023645702,1.0,BraTS20_Training_095.nii.gz,3,18549,33378,103768,0.9107172900540285,1.550093846624295,25072,33928,102612,nnUNetTrainerUMambaEnc_150epochs
0.9332552540828941,1.0,0.9741030138733854,1.0,0.9644214631256788,1.4142135623730951,BraTS20_Training_097.nii.gz,3,37193,61963,79531,0.9572599103606527,1.1380711874576983,39652,63457,82533,nnUNetTrainerUMambaEnc_150epochs
0.8331634386680258,8.48528137423857,0.7740308855972265,9.433981132056603,0.6133873568445859,9.433981132056603,BraTS20_Training_099.nii.gz,3,1238,1238,7513,0.7401938937032794,9.117747879450592,1705,1935,16674,nnUNetTrainerUMambaEnc_150epochs
0.9265209940017138,1.0,0.9692354553761803,1.0,0.9393923629174904,3.605551275463989,BraTS20_Training_103.nii.gz,3,37271,51228,58208,0.9450496040984615,1.8685170918213296,37417,50545,57124,nnUNetTrainerUMambaEnc_150epochs
0.8958801498127341,1.0,0.9113266366470385,1.0,0.7708458498023716,5.385164807134504,BraTS20_Training_110.nii.gz,3,2786,2872,15762,0.859350878754048,2.461721602378168,2554,2902,15863,nnUNetTrainerUMambaEnc_150epochs
0.9644665810439704,1.0,0.9848371533735134,1.0,0.9717370411081888,1.0,BraTS20_Training_112.nii.gz,3,48172,68462,170359,0.9736802585085576,1.0,47597,67924,177163,nnUNetTrainerUMambaEnc_150epochs
0.9297754189395057,1.0,0.9706031226881595,1.0,0.9681153388436201,1.0,BraTS20_Training_117.nii.gz,3,9819,12700,78134,0.9561646268237618,1.0,10530,12983,75639,nnUNetTrainerUMambaEnc_150epochs
0.9427731915489016,1.0,0.9707269330011566,1.0,0.9653068548869482,1.0,BraTS20_Training_122.nii.gz,3,3611,5674,16585,0.9596023264790021,1.0,3536,5565,16851,nnUNetTrainerUMambaEnc_150epochs
0.916163812907771,1.0,0.9167942083910308,2.449489742783178,0.930399899711671,3.3166247903554,BraTS20_Training_126.nii.gz,3,16152,19712,38000,0.921119307003491,2.2553715110461927,16495,21451,41770,nnUNetTrainerUMambaEnc_150epochs
0.9759466926702421,1.0,0.9787966512792426,1.0,0.9736052168512577,1.0,BraTS20_Training_127.nii.gz,3,6204,6360,43568,0.9761161869335808,1.0,6102,6421,43381,nnUNetTrainerUMambaEnc_150epochs
0.9098163701695214,2.23606797749979,0.9284130257168424,1.7320508075688772,0.9150940956387555,6.164414002968976,BraTS20_Training_132.nii.gz,3,21250,25664,173928,0.9177744971750398,3.377510929345881,24113,25742,174069,nnUNetTrainerUMambaEnc_150epochs
0.910099024589252,1.0,0.9521443802070739,1.7320508075688772,0.9540033063475215,1.4142135623730951,BraTS20_Training_140.nii.gz,3,26264,46495,137301,0.9387489037146158,1.3820881233139908,27662,44487,133088,nnUNetTrainerUMambaEnc_150epochs
0.9298264166905866,1.0,0.9753692222993513,1.0,0.9657766990291262,1.0,BraTS20_Training_154.nii.gz,3,32363,62211,94086,0.956990779339688,1.0,33830,63120,95434,nnUNetTrainerUMambaEnc_150epochs
0.9338660975775875,1.0,0.9596299559471365,1.4142135623730951,0.736625143829106,14.866068747318506,BraTS20_Training_164.nii.gz,3,43375,56563,125370,0.87670706578461,5.760094103230534,44719,56937,74520,nnUNetTrainerUMambaEnc_150epochs
0.8728111777091616,2.23606797749979,0.9248086756580528,4.123105625617661,0.9370460124928516,3.3166247903554,BraTS20_Training_168.nii.gz,3,74539,101553,163378,0.911555288620022,3.2252661311576167,74114,102420,153123,nnUNetTrainerUMambaEnc_150epochs
0.9071069429091039,1.0,0.9459949705239724,1.4142135623730951,0.9428557929054037,1.4142135623730951,BraTS20_Training_170.nii.gz,3,13224,25202,99859,0.9319859021128266,1.2761423749153968,14819,23312,90624,nnUNetTrainerUMambaEnc_150epochs
0.7661887462214704,3.0,0.815658966518488,7.874007874011811,0.9048657136075661,5.830951894845301,BraTS20_Training_171.nii.gz,3,16944,70168,146494,0.8289044754491748,5.56831992295237,19115,85500,127361,nnUNetTrainerUMambaEnc_150epochs
0.37186681631126073,10.246950765959598,0.39683505782105905,10.04987562112089,0.69157387991376,29.108413412703626,BraTS20_Training_177.nii.gz,3,1037,1241,12952,0.4867585846820266,16.468413266594705,1636,2045,20907,nnUNetTrainerUMambaEnc_150epochs
0.9462407757299205,1.0,0.9594450495900935,1.0,0.9319161050072323,2.449489742783178,BraTS20_Training_184.nii.gz,3,26938,42503,122929,0.9458673101090821,1.4831632475943926,29164,44712,137015,nnUNetTrainerUMambaEnc_150epochs
0.8419903888495338,2.0,0.9486642171833448,1.7320508075688772,0.8800816673755849,37.169879695378945,BraTS20_Training_193.nii.gz,3,29915,53790,130288,0.8902454244694878,13.633976834315941,22316,52627,163587,nnUNetTrainerUMambaEnc_150epochs
0.9264808925780197,1.0,0.9737580180226971,1.0,0.9538010643494357,1.7320508075688772,BraTS20_Training_194.nii.gz,3,38724,77990,99624,0.9513466583167175,1.2440169358562925,35488,76038,94861,nnUNetTrainerUMambaEnc_150epochs
0.8197579326136736,2.0,0.9228546850400091,2.8284271247461903,0.9329831847237491,2.23606797749979,BraTS20_Training_195.nii.gz,3,21184,32325,50735,0.891865267459144,2.35483170074866,15500,29286,47509,nnUNetTrainerUMambaEnc_150epochs
0.8972473208657281,1.4142135623730951,0.8834343829454332,1.4142135623730951,0.9358430937102956,2.23606797749979,BraTS20_Training_200.nii.gz,3,4539,4664,44798,0.9055082658404856,1.6881650340819934,4979,5562,48863,nnUNetTrainerUMambaEnc_150epochs
