ET_dice,ET_hd95,TC_dice,TC_hd95,WT_dice,WT_hd95,case,fold,mean_dice,mean_hd95,trainer
0.7811088295687885,1.4142135623730951,0.916412213740458,2.0,0.9183980412731725,4.242640687119285,BraTS20_Training_011.nii.gz,0,0.8719730281941397,2.5522847498307932,nnUNetTrainerUMambaEnc_150epochs
0.8497344017286396,1.0,0.9300050175614651,1.0,0.8555030850367102,17.944358444926362,BraTS20_Training_012.nii.gz,0,0.8784141681089384,6.64811948164212,nnUNetTrainerUMambaEnc_150epochs
0.8206345583200183,1.0,0.9229817825762066,2.0,0.9075984764476158,4.0,BraTS20_Training_019.nii.gz,0,0.8837382724479469,2.3333333333333335,nnUNetTrainerUMambaEnc_150epochs
0.7272232962783953,1.4142135623730951,0.8635258830221855,6.082762530298219,0.9038992223058453,3.7416573867739413,BraTS20_Training_020.nii.gz,0,0.8315494672021421,3.7462111598150853,nnUNetTrainerUMambaEnc_150epochs
0.7059404717796715,2.23606797749979,0.8931198615318044,1.0,0.7935893064175135,4.123105625617661,BraTS20_Training_021.nii.gz,0,0.7975498799096631,2.453057867705817,nnUNetTrainerUMambaEnc_150epochs
0.8782685430309786,1.0,0.9529167900503406,1.0,0.9028144522444773,1.4142135623730951,BraTS20_Training_023.nii.gz,0,0.9113332617752655,1.1380711874576983,nnUNetTrainerUMambaEnc_150epochs
0.6753412289553349,1.7320508075688772,0.8569219349251516,2.8284271247461903,0.8439534087016102,5.916079783099616,BraTS20_Training_028.nii.gz,0,0.7920721908606989,3.492185905138228,nnUNetTrainerUMambaEnc_150epochs
0.8928764652840396,1.0,0.9472451790633609,1.0,0.9378679194587157,1.0,BraTS20_Training_029.nii.gz,0,0.9259965212687055,1.0,nnUNetTrainerUMambaEnc_150epochs
0.8171699574138599,1.0,0.910268270120259,2.23606797749979,0.8902746588357229,3.0,BraTS20_Training_032.nii.gz,0,0.8725709621232806,2.0786893258332633,nnUNetTrainerUMambaEnc_150epochs
0.8102928509905254,1.4142135623730951,0.8913005117346039,1.7320508075688772,0.8984141427271546,2.0,BraTS20_Training_036.nii.gz,0,0.8666691684840946,1.715421456647324,nnUNetTrainerUMambaEnc_150epochs
0.8830938715765957,1.0,0.9382091343018858,1.4142135623730951,0.9127625201938611,3.0,BraTS20_Training_039.nii.gz,0,0.9113551753574475,1.804737854124365,nnUNetTrainerUMambaEnc_150epochs
0.7693076175940058,1.7320508075688772,0.9011225632339008,3.4641016151377544,0.9453219226463055,1.4142135623730951,BraTS20_Training_041.nii.gz,0,0.8719173678247374,2.203455328359909,nnUNetTrainerUMambaEnc_150epochs
0.8751592981080286,1.0,0.9613335325166816,1.0,0.9598378559200299,1.0,BraTS20_Training_042.nii.gz,0,0.9321102288482467,1.0,nnUNetTrainerUMambaEnc_150epochs
0.8706359336286508,2.0,0.9520981278244028,1.0,0.9170081213043159,2.0,BraTS20_Training_049.nii.gz,0,0.9132473942524565,1.6666666666666667,nnUNetTrainerUMambaEnc_150epochs
0.8794383149448345,1.0,0.9410078815380941,1.0,0.9410519058406382,1.4142135623730951,BraTS20_Training_051.nii.gz,0,0.920499367441189,1.1380711874576983,nnUNetTrainerUMambaEnc_150epochs
0.8707843880257673,1.0,0.8717378372087008,4.006155281280794,0.9572519236467881,1.4142135623730951,BraTS20_Training_053.nii.gz,0,0.899924716293752,2.1401229478846298,nnUNetTrainerUMambaEnc_150epochs
0.8811339995920865,1.4142135623730951,0.9315043521852071,1.7320508075688772,0.8765787987755951,4.58257569495584,BraTS20_Training_056.nii.gz,0,0.8964057168509629,2.576280021632604,nnUNetTrainerUMambaEnc_150epochs
0.8513660240044605,1.0,0.9481553900566466,1.4142135623730951,0.7797459017904889,25.514701644346147,BraTS20_Training_069.nii.gz,0,0.859755771950532,9.309638402239747,nnUNetTrainerUMambaEnc_150epochs
0.6852331967327367,2.8284271247461903,0.8570253880152122,4.898979485566356,0.8911320097526995,3.7416573867739413,BraTS20_Training_074.nii.gz,0,0.8111301981668828,3.8230213323621625,nnUNetTrainerUMambaEnc_150epochs
0.3190789473684211,111.29690022637648,0.436028659160696,109.23460952019664,0.7109363693376429,87.0976463516667,BraTS20_Training_086.nii.gz,0,0.48868132528892,102.5430520327466,nnUNetTrainerUMambaEnc_150epochs
0.8375183769479565,1.4142135623730951,0.9231109147149801,1.4142135623730951,0.8433804965762755,5.830951894845301,BraTS20_Training_088.nii.gz,0,0.868003262746404,2.8864596731971637,nnUNetTrainerUMambaEnc_150epochs
0.9568431960119864,1.0,0.9702213609192892,1.0,0.6043006989407804,53.1224999411737,BraTS20_Training_089.nii.gz,0,0.8437884186240187,18.3741666470579,nnUNetTrainerUMambaEnc_150epochs
0.9322770253002811,1.0,0.9588855754362713,1.4142135623730951,0.9795847254391539,1.0,BraTS20_Training_098.nii.gz,0,0.9569157753919021,1.1380711874576983,nnUNetTrainerUMambaEnc_150epochs
0.9054904380012339,1.0,0.9733745653317594,1.0,0.9677827596181661,1.0,BraTS20_Training_100.nii.gz,0,0.9488825876503865,1.0,nnUNetTrainerUMambaEnc_150epochs
0.8987289872898729,1.0,0.9263476347634764,2.23606797749979,0.9293160678460697,3.0,BraTS20_Training_101.nii.gz,0,0.9181308966331396,2.0786893258332633,nnUNetTrainerUMambaEnc_150epochs
0.9518152532927376,1.0,0.9622128349053874,3.0,0.9657885615251299,1.4142135623730951,BraTS20_Training_104.nii.gz,0,0.959938883241085,1.804737854124365,nnUNetTrainerUMambaEnc_150epochs
0.9670681018863903,1.0,0.9683284457478006,1.0,0.9437209956405569,1.4142135623730951,BraTS20_Training_107.nii.gz,0,0.9597058477582493,1.1380711874576983,nnUNetTrainerUMambaEnc_150epochs
0.9296315106370973,1.0,0.964872455850102,1.0,0.947680289395133,1.4142135623730951,BraTS20_Training_111.nii.gz,0,0.9473947519607774,1.1380711874576983,nnUNetTrainerUMambaEnc_150epochs
