case,WT,TC,ET
BraTS20_Training_003.nii.gz,4.58257569495584,1.0,1.0
BraTS20_Training_007.nii.gz,2.0,11.013608305156145,1.0
BraTS20_Training_014.nii.gz,3.1622776601683795,3.0,1.0
BraTS20_Training_025.nii.gz,2.0,1.0,1.0
BraTS20_Training_033.nii.gz,1.0,1.0,1.0
BraTS20_Training_052.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_062.nii.gz,2.0,1.4142135623730951,1.0
BraTS20_Training_066.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_070.nii.gz,2.23606797749979,3.3166247903554,1.4142135623730951
BraTS20_Training_079.nii.gz,2.449489742783178,1.4142135623730951,3.605551275463989
BraTS20_Training_080.nii.gz,2.23606797749979,3.1622776601683795,1.4142135623730951
BraTS20_Training_085.nii.gz,2.0,1.7320508075688772,2.8284271247461903
BraTS20_Training_087.nii.gz,9.899494936611665,7.615773105863909,10.198039027185569
BraTS20_Training_095.nii.gz,1.0,2.23606797749979,1.4142135623730951
BraTS20_Training_097.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_099.nii.gz,9.433981132056603,9.433981132056603,8.48528137423857
BraTS20_Training_103.nii.gz,3.605551275463989,1.0,1.0
BraTS20_Training_110.nii.gz,5.385164807134504,1.0,1.0
BraTS20_Training_112.nii.gz,1.0,1.0,1.0
BraTS20_Training_117.nii.gz,1.0,1.0,1.0
BraTS20_Training_122.nii.gz,1.0,1.0,1.0
BraTS20_Training_126.nii.gz,3.3166247903554,2.449489742783178,1.0
BraTS20_Training_127.nii.gz,1.0,1.0,1.0
BraTS20_Training_132.nii.gz,6.164414002968976,1.7320508075688772,2.23606797749979
BraTS20_Training_140.nii.gz,1.4142135623730951,1.7320508075688772,1.0
BraTS20_Training_154.nii.gz,1.0,1.0,1.0
BraTS20_Training_164.nii.gz,14.866068747318506,1.4142135623730951,1.0
BraTS20_Training_168.nii.gz,3.3166247903554,4.123105625617661,2.23606797749979
BraTS20_Training_170.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_171.nii.gz,5.830951894845301,7.874007874011811,3.0
BraTS20_Training_177.nii.gz,29.108413412703626,10.04987562112089,10.246950765959598
BraTS20_Training_184.nii.gz,2.449489742783178,1.0,1.0
BraTS20_Training_193.nii.gz,37.169879695378945,1.7320508075688772,2.0
BraTS20_Training_194.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_195.nii.gz,2.23606797749979,2.8284271247461903,2.0
BraTS20_Training_200.nii.gz,2.23606797749979,1.4142135623730951,1.4142135623730951
BraTS20_Training_201.nii.gz,1.0,1.0,1.4142135623730951
BraTS20_Training_212.nii.gz,5.744562646538029,7.0710678118654755,2.449489742783178
BraTS20_Training_213.nii.gz,9.848857801796104,4.242640687119285,2.0
BraTS20_Training_215.nii.gz,2.0,2.23606797749979,1.0
BraTS20_Training_217.nii.gz,47.808471792296956,1.4142135623730951,1.0
BraTS20_Training_218.nii.gz,2.0,2.23606797749979,1.4142135623730951
BraTS20_Training_225.nii.gz,1.4142135623730951,2.23606797749979,3.1622776601683795
BraTS20_Training_233.nii.gz,1.0,1.0,1.0
BraTS20_Training_234.nii.gz,2.23606797749979,4.242640687119285,14.26357935251478
BraTS20_Training_237.nii.gz,3.0,2.0,1.4142135623730951
BraTS20_Training_242.nii.gz,4.69041575982343,5.2339548995923435,2.23606797749979
BraTS20_Training_243.nii.gz,2.0,49.72926703662542,45.4972526643093
BraTS20_Training_244.nii.gz,1.4142135623730951,2.449489742783178,2.0
BraTS20_Training_246.nii.gz,2.449489742783178,9.643650760992955,3.0
BraTS20_Training_260.nii.gz,11.045361017187261,9.848857801796104,3.0
BraTS20_Training_265.nii.gz,2.0,1.7320508075688772,inf
BraTS20_Training_266.nii.gz,1.7320508075688772,4.123105625617661,inf
BraTS20_Training_274.nii.gz,7.280109889280518,12.529964086141668,5.830951894845301
BraTS20_Training_278.nii.gz,4.0,28.178005607210743,inf
BraTS20_Training_282.nii.gz,1.4142135623730951,5.0,2.0
BraTS20_Training_289.nii.gz,2.0,10.099504938362077,inf
BraTS20_Training_291.nii.gz,1.4142135623730951,9.643650760992955,24.294002936447786
BraTS20_Training_292.nii.gz,2.23606797749979,3.1622776601683795,12.14057120095705
BraTS20_Training_299.nii.gz,1.7320508075688772,2.23606797749979,14.324796869502546
BraTS20_Training_306.nii.gz,3.7416573867739413,18.439088914585774,inf
BraTS20_Training_314.nii.gz,3.1622776601683795,5.196152422706632,1.7320508075688772
BraTS20_Training_315.nii.gz,1.0,2.23606797749979,1.0
BraTS20_Training_318.nii.gz,3.1622776601683795,5.385164807134504,11.97491258634388
BraTS20_Training_323.nii.gz,4.47213595499958,4.358898943540674,inf
BraTS20_Training_325.nii.gz,19.209372712298546,9.1104335791443,29.802665738717423
BraTS20_Training_327.nii.gz,1.7320508075688772,7.615773105863909,9.219544457292887
BraTS20_Training_328.nii.gz,3.0,12.206555615733702,51.06074048023926
BraTS20_Training_335.nii.gz,3.605551275463989,7.483314773547883,inf
BraTS20_Training_337.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_344.nii.gz,2.0,5.0990195135927845,11.090536506409418
BraTS20_Training_348.nii.gz,1.0,3.0,1.4142135623730951
BraTS20_Training_363.nii.gz,1.0,1.0,1.0
BraTS20_Training_367.nii.gz,1.7320508075688772,2.8284271247461903,1.0
