case,WT,TC,ET
BraTS20_Training_001.nii.gz,3.4641016151377544,2.0,1.0
BraTS20_Training_006.nii.gz,2.23606797749979,2.23606797749979,1.4142135623730951
BraTS20_Training_013.nii.gz,4.0,1.4142135623730951,1.4142135623730951
BraTS20_Training_024.nii.gz,4.123105625617661,2.23606797749979,2.0
BraTS20_Training_030.nii.gz,3.0,3.0,1.4142135623730951
BraTS20_Training_035.nii.gz,3.0,3.605551275463989,1.4142135623730951
BraTS20_Training_037.nii.gz,5.0990195135927845,1.4142135623730951,1.0
BraTS20_Training_044.nii.gz,5.0,4.358898943540674,4.242640687119285
BraTS20_Training_059.nii.gz,4.123105625617661,1.0,1.0
BraTS20_Training_060.nii.gz,3.605551275463989,1.0,1.0
BraTS20_Training_063.nii.gz,2.23606797749979,7.483314773547883,7.0710678118654755
BraTS20_Training_064.nii.gz,7.874007874011811,4.242640687119285,2.0
BraTS20_Training_065.nii.gz,8.94427190999916,1.0,1.0
BraTS20_Training_073.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_075.nii.gz,2.23606797749979,2.0,1.0
BraTS20_Training_077.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_078.nii.gz,3.0,1.0,1.0
BraTS20_Training_081.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_082.nii.gz,4.58257569495584,1.0,1.0
BraTS20_Training_083.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_084.nii.gz,2.23606797749979,2.0,1.7320508075688772
BraTS20_Training_092.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_106.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_108.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_109.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_119.nii.gz,3.4641016151377544,1.0,1.0
BraTS20_Training_120.nii.gz,39.71145930332956,1.0,1.0
BraTS20_Training_125.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_130.nii.gz,3.0,1.4142135623730951,1.0
BraTS20_Training_134.nii.gz,3.0,3.7416573867739413,2.449489742783178
BraTS20_Training_139.nii.gz,2.449489742783178,1.0,1.0
BraTS20_Training_143.nii.gz,2.23606797749979,2.449489742783178,1.7320508075688772
BraTS20_Training_144.nii.gz,2.23606797749979,2.8284271247461903,1.0
BraTS20_Training_147.nii.gz,9.9498743710662,13.45362404707371,47.54997371187496
BraTS20_Training_156.nii.gz,1.4142135623730951,3.605551275463989,1.0
BraTS20_Training_167.nii.gz,2.23606797749979,8.18535277187245,6.4031242374328485
BraTS20_Training_172.nii.gz,1.0,1.0,1.0
BraTS20_Training_173.nii.gz,3.0,3.7416573867739413,1.4142135623730951
BraTS20_Training_179.nii.gz,2.23606797749979,2.449489742783178,2.449489742783178
BraTS20_Training_186.nii.gz,2.449489742783178,1.0,1.0
BraTS20_Training_190.nii.gz,3.0,2.8284271247461903,2.23606797749979
BraTS20_Training_202.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_209.nii.gz,2.0,1.0,1.0
BraTS20_Training_211.nii.gz,2.0,1.0,1.0
BraTS20_Training_219.nii.gz,13.638181696985855,1.0,1.0
BraTS20_Training_227.nii.gz,16.73320053068151,3.4641016151377544,3.605551275463989
BraTS20_Training_228.nii.gz,5.830951894845301,1.0,1.0
BraTS20_Training_232.nii.gz,2.8284271247461903,6.164414002968976,23.748684174075834
BraTS20_Training_236.nii.gz,4.242640687119285,12.24744871391589,12.041594578792296
BraTS20_Training_248.nii.gz,2.449489742783178,1.4142135623730951,1.0
BraTS20_Training_249.nii.gz,7.874007874011811,1.7320508075688772,2.449489742783178
BraTS20_Training_252.nii.gz,1.4142135623730951,1.7320508075688772,1.4142135623730951
BraTS20_Training_253.nii.gz,1.4142135623730951,1.4142135623730951,2.0
BraTS20_Training_258.nii.gz,1.7320508075688772,1.7320508075688772,1.4142135623730951
BraTS20_Training_262.nii.gz,2.8284271247461903,12.409673645990857,inf
BraTS20_Training_264.nii.gz,2.0,2.8284271247461903,inf
BraTS20_Training_268.nii.gz,3.0,3.0,inf
BraTS20_Training_279.nii.gz,10.04987562112089,11.357816691600547,inf
BraTS20_Training_280.nii.gz,2.0,19.748417658131498,14.699937811024997
BraTS20_Training_286.nii.gz,3.0,4.242640687119285,inf
BraTS20_Training_288.nii.gz,8.48528137423857,10.295630140987,1.0
BraTS20_Training_295.nii.gz,1.4142135623730951,5.0,16.792855623746664
BraTS20_Training_298.nii.gz,2.23606797749979,4.47213595499958,25.248744817648983
BraTS20_Training_303.nii.gz,7.681145747868608,14.7648230602334,8.366600265340756
BraTS20_Training_310.nii.gz,3.0,5.830951894845301,inf
BraTS20_Training_316.nii.gz,3.7416573867739413,8.54400374531753,9.695359714832659
BraTS20_Training_324.nii.gz,2.23606797749979,12.529964086141668,inf
BraTS20_Training_330.nii.gz,1.4142135623730951,3.605551275463989,inf
BraTS20_Training_332.nii.gz,1.4142135623730951,2.0,1.0
BraTS20_Training_349.nii.gz,1.4142135623730951,2.0,1.4142135623730951
BraTS20_Training_358.nii.gz,1.0,2.449489742783178,1.0
BraTS20_Training_365.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_366.nii.gz,2.0,4.242640687119285,3.1622776601683795
