case,WT,TC,ET
BraTS20_Training_003.nii.gz,4.47213595499958,1.0,1.0
BraTS20_Training_007.nii.gz,2.0,10.82818549259403,1.0
BraTS20_Training_014.nii.gz,2.8284271247461903,3.0,1.0
BraTS20_Training_025.nii.gz,2.0,1.0,1.0
BraTS20_Training_033.nii.gz,1.0,1.0,1.0
BraTS20_Training_052.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_062.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_066.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_070.nii.gz,2.23606797749979,3.1622776601683795,1.4142135623730951
BraTS20_Training_079.nii.gz,3.0,1.4142135623730951,3.7416573867739413
BraTS20_Training_080.nii.gz,2.449489742783178,3.1622776601683795,1.4142135623730951
BraTS20_Training_085.nii.gz,1.7320508075688772,13.37534048702916,4.58257569495584
BraTS20_Training_087.nii.gz,91.30717386930777,94.77288614048702,91.34084216775513
BraTS20_Training_095.nii.gz,1.0,3.605551275463989,1.4142135623730951
BraTS20_Training_097.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_099.nii.gz,8.831760866327848,5.0,3.0
BraTS20_Training_103.nii.gz,3.7416573867739413,1.4142135623730951,1.0
BraTS20_Training_110.nii.gz,29.189039038652847,1.0,1.0
BraTS20_Training_112.nii.gz,1.0,1.0,1.0
BraTS20_Training_117.nii.gz,1.0,1.0,1.0
BraTS20_Training_122.nii.gz,1.0,1.0,1.0
BraTS20_Training_126.nii.gz,2.8284271247461903,2.23606797749979,1.0
BraTS20_Training_127.nii.gz,1.0,1.0,1.0
BraTS20_Training_132.nii.gz,6.164414002968976,1.7320508075688772,2.449489742783178
BraTS20_Training_140.nii.gz,1.4142135623730951,2.0,1.0
BraTS20_Training_154.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_164.nii.gz,10.770329614269007,1.4142135623730951,1.0
BraTS20_Training_168.nii.gz,2.8284271247461903,2.8284271247461903,2.0
BraTS20_Training_170.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_171.nii.gz,6.4031242374328485,6.4031242374328485,3.0
BraTS20_Training_177.nii.gz,28.30194339616981,24.705243401771472,24.698178070456937
BraTS20_Training_184.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_193.nii.gz,2.23606797749979,2.8284271247461903,1.7320508075688772
BraTS20_Training_194.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_195.nii.gz,2.0,2.23606797749979,1.4142135623730951
BraTS20_Training_200.nii.gz,2.23606797749979,2.0,1.4142135623730951
BraTS20_Training_201.nii.gz,1.0,1.0,1.4142135623730951
BraTS20_Training_212.nii.gz,5.0,6.782329983125268,2.0
BraTS20_Training_213.nii.gz,9.219544457292887,3.844994432064271,1.4142135623730951
BraTS20_Training_215.nii.gz,2.0,2.23606797749979,1.4142135623730951
BraTS20_Training_217.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_218.nii.gz,2.0,2.0,1.4142135623730951
BraTS20_Training_225.nii.gz,1.0,2.0,3.0
BraTS20_Training_233.nii.gz,74.6726176092127,83.10925631923813,82.58298810856574
BraTS20_Training_234.nii.gz,1.7320508075688772,2.449489742783178,18.439088914585774
BraTS20_Training_237.nii.gz,2.23606797749979,2.449489742783178,1.0
BraTS20_Training_242.nii.gz,4.358898943540674,3.605551275463989,2.0
BraTS20_Training_243.nii.gz,1.7320508075688772,49.75992155648021,45.727453460694704
BraTS20_Training_244.nii.gz,1.4142135623730951,2.23606797749979,2.23606797749979
BraTS20_Training_246.nii.gz,2.0,2.449489742783178,3.0
BraTS20_Training_260.nii.gz,9.486832980505138,4.0,3.0
BraTS20_Training_265.nii.gz,1.4142135623730951,1.4142135623730951,inf
BraTS20_Training_266.nii.gz,1.7320508075688772,5.0990195135927845,inf
BraTS20_Training_274.nii.gz,9.797958971132712,14.212670403551895,5.477225575051661
BraTS20_Training_278.nii.gz,5.196152422706632,27.0,inf
BraTS20_Training_282.nii.gz,1.7320508075688772,7.810249675906654,3.0
BraTS20_Training_289.nii.gz,2.23606797749979,10.295630140987,inf
BraTS20_Training_291.nii.gz,1.4142135623730951,10.246950765959598,24.413111231467404
BraTS20_Training_292.nii.gz,2.23606797749979,3.0,13.019202405202648
BraTS20_Training_299.nii.gz,1.4142135623730951,3.0,11.436769364005952
BraTS20_Training_306.nii.gz,3.1622776601683795,20.688160865577203,inf
BraTS20_Training_314.nii.gz,2.8284271247461903,5.0990195135927845,2.23606797749979
BraTS20_Training_315.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_318.nii.gz,2.23606797749979,12.529964086141668,13.894241203836518
BraTS20_Training_323.nii.gz,4.0,4.58257569495584,inf
BraTS20_Training_325.nii.gz,16.911534525287763,7.810249675906654,inf
BraTS20_Training_327.nii.gz,1.4142135623730951,5.916079783099616,8.602325267042627
BraTS20_Training_328.nii.gz,3.1622776601683795,18.128701742387115,1.4142135623730951
BraTS20_Training_335.nii.gz,4.358898943540674,8.06225774829855,inf
BraTS20_Training_337.nii.gz,1.0,1.0,1.0
BraTS20_Training_344.nii.gz,2.8284271247461903,12.206555615733702,12.449899597988733
BraTS20_Training_348.nii.gz,1.0,2.23606797749979,1.4142135623730951
BraTS20_Training_363.nii.gz,1.0,1.0,1.0
BraTS20_Training_367.nii.gz,1.4142135623730951,2.8284271247461903,1.0
