case,WT,TC,ET
BraTS20_Training_001.nii.gz,3.4641016151377544,2.23606797749979,1.0
BraTS20_Training_006.nii.gz,2.23606797749979,2.449489742783178,1.4142135623730951
BraTS20_Training_013.nii.gz,3.7416573867739413,1.4142135623730951,1.4142135623730951
BraTS20_Training_024.nii.gz,5.916079783099616,20.445048300260872,18.384776310850235
BraTS20_Training_030.nii.gz,3.0,13.364118521806304,2.8284271247461903
BraTS20_Training_035.nii.gz,3.0,3.605551275463989,1.4142135623730951
BraTS20_Training_037.nii.gz,4.123105625617661,1.4142135623730951,1.0
BraTS20_Training_044.nii.gz,4.358898943540674,4.69041575982343,4.242640687119285
BraTS20_Training_059.nii.gz,4.123105625617661,1.0,1.0
BraTS20_Training_060.nii.gz,3.7416573867739413,1.4142135623730951,1.0
BraTS20_Training_063.nii.gz,2.23606797749979,8.18535277187245,7.14142842854285
BraTS20_Training_064.nii.gz,7.615773105863909,4.242640687119285,2.23606797749979
BraTS20_Training_065.nii.gz,6.0,1.0,1.0
BraTS20_Training_073.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_075.nii.gz,2.23606797749979,2.0,1.4142135623730951
BraTS20_Training_077.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_078.nii.gz,3.1622776601683795,1.0,1.0
BraTS20_Training_081.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_082.nii.gz,4.242640687119285,1.0,1.0
BraTS20_Training_083.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_084.nii.gz,2.23606797749979,2.0,1.4142135623730951
BraTS20_Training_092.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_106.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_108.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_109.nii.gz,1.0,1.0,1.0
BraTS20_Training_119.nii.gz,8.660254037844387,1.0,1.0
BraTS20_Training_120.nii.gz,32.07802986469088,1.0,1.0
BraTS20_Training_125.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_130.nii.gz,3.3166247903554,1.4142135623730951,1.4142135623730951
BraTS20_Training_134.nii.gz,3.605551275463989,4.123105625617661,2.8284271247461903
BraTS20_Training_139.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_143.nii.gz,2.23606797749979,1.7320508075688772,1.7320508075688772
BraTS20_Training_144.nii.gz,2.23606797749979,2.23606797749979,1.4142135623730951
BraTS20_Training_147.nii.gz,10.344080432788601,12.884098726725126,24.939927826679853
BraTS20_Training_156.nii.gz,1.0,2.23606797749979,1.0
BraTS20_Training_167.nii.gz,2.8284271247461903,7.0710678118654755,5.0990195135927845
BraTS20_Training_172.nii.gz,1.0,1.0,1.0
BraTS20_Training_173.nii.gz,3.0,3.605551275463989,3.0
BraTS20_Training_179.nii.gz,2.0,2.0,2.449489742783178
BraTS20_Training_186.nii.gz,3.0,1.0,1.0
BraTS20_Training_190.nii.gz,4.0,2.449489742783178,2.0
BraTS20_Training_202.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_209.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_211.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_219.nii.gz,16.177138165788016,1.0,1.0
BraTS20_Training_227.nii.gz,13.19090595827292,3.0,3.0
BraTS20_Training_228.nii.gz,8.602325267042627,1.0,1.0
BraTS20_Training_232.nii.gz,2.23606797749979,5.385164807134504,23.27122441415679
BraTS20_Training_236.nii.gz,3.7416573867739413,5.0,6.4031242374328485
BraTS20_Training_248.nii.gz,2.23606797749979,1.4142135623730951,1.0
BraTS20_Training_249.nii.gz,7.874007874011811,1.4142135623730951,2.449489742783178
BraTS20_Training_252.nii.gz,1.4142135623730951,2.0,1.7320508075688772
BraTS20_Training_253.nii.gz,1.4142135623730951,1.0,1.7320508075688772
BraTS20_Training_258.nii.gz,2.0,2.0,1.0
BraTS20_Training_262.nii.gz,3.0,41.53311931459037,inf
BraTS20_Training_264.nii.gz,2.0,2.8284271247461903,inf
BraTS20_Training_268.nii.gz,3.0,2.449489742783178,nan
BraTS20_Training_279.nii.gz,5.0,7.0710678118654755,inf
BraTS20_Training_280.nii.gz,2.0,21.283796653792763,1.4142135623730951
BraTS20_Training_286.nii.gz,3.0,3.605551275463989,inf
BraTS20_Training_288.nii.gz,7.810249675906654,9.486832980505138,1.0
BraTS20_Training_295.nii.gz,1.4142135623730951,5.385164807134504,17.50712395709799
BraTS20_Training_298.nii.gz,2.0,14.352700094407323,15.636487597155918
BraTS20_Training_303.nii.gz,9.219544457292887,14.035668847618199,9.232822266407853
BraTS20_Training_310.nii.gz,2.23606797749979,5.0,inf
BraTS20_Training_316.nii.gz,3.605551275463989,14.2828568570857,5.704462085815049
BraTS20_Training_324.nii.gz,2.0,13.892443989449804,inf
BraTS20_Training_330.nii.gz,1.4142135623730951,3.7416573867739413,inf
BraTS20_Training_332.nii.gz,1.4142135623730951,11.0,1.4142135623730951
BraTS20_Training_349.nii.gz,1.4142135623730951,3.0,2.449489742783178
BraTS20_Training_358.nii.gz,1.0,2.449489742783178,1.0
BraTS20_Training_365.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_366.nii.gz,1.4142135623730951,3.605551275463989,2.23606797749979
