case,WT,TC,ET
BraTS20_Training_004.nii.gz,1.4142135623730951,2.8284271247461903,1.0
BraTS20_Training_005.nii.gz,3.4641016151377544,1.0,1.0
BraTS20_Training_009.nii.gz,3.0,4.898979485566356,3.605551275463989
BraTS20_Training_015.nii.gz,2.0,6.782329983125268,1.0
BraTS20_Training_017.nii.gz,2.0,3.3166247903554,1.0
BraTS20_Training_022.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_031.nii.gz,2.8284271247461903,1.4142135623730951,1.0
BraTS20_Training_034.nii.gz,1.4142135623730951,2.0,1.4142135623730951
BraTS20_Training_043.nii.gz,4.242640687119285,3.605551275463989,4.47213595499958
BraTS20_Training_046.nii.gz,18.24828759089466,1.7320508075688772,1.4142135623730951
BraTS20_Training_047.nii.gz,6.082762530298219,2.0,1.0
BraTS20_Training_048.nii.gz,15.066519173319364,1.4142135623730951,1.4142135623730951
BraTS20_Training_054.nii.gz,2.0,1.4142135623730951,1.0
BraTS20_Training_055.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_058.nii.gz,8.48528137423857,5.196152422706632,5.744562646538029
BraTS20_Training_068.nii.gz,1.4142135623730951,3.0,1.0
BraTS20_Training_072.nii.gz,7.0,2.449489742783178,1.4142135623730951
BraTS20_Training_076.nii.gz,2.23606797749979,2.449489742783178,1.0
BraTS20_Training_091.nii.gz,8.660254037844387,1.0,1.0
BraTS20_Training_102.nii.gz,2.0,1.4142135623730951,1.0
BraTS20_Training_115.nii.gz,1.0,1.0,1.0
BraTS20_Training_121.nii.gz,1.0,1.0,1.0
BraTS20_Training_129.nii.gz,3.0,2.23606797749979,1.4142135623730951
BraTS20_Training_133.nii.gz,2.8284271247461903,22.869193252058544,1.4142135623730951
BraTS20_Training_135.nii.gz,2.449489742783178,11.045361017187261,2.0
BraTS20_Training_136.nii.gz,4.358898943540674,12.409673645990857,11.575836902790225
BraTS20_Training_142.nii.gz,1.4142135623730951,1.0,3.605551275463989
BraTS20_Training_149.nii.gz,3.605551275463989,4.0,2.23606797749979
BraTS20_Training_153.nii.gz,1.0,1.0,1.0
BraTS20_Training_158.nii.gz,5.744562646538029,3.605551275463989,1.7320508075688772
BraTS20_Training_159.nii.gz,16.0312195418814,2.0,3.0
BraTS20_Training_161.nii.gz,1.4142135623730951,1.7320508075688772,1.0
BraTS20_Training_166.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_169.nii.gz,3.1622776601683795,1.0,1.0
BraTS20_Training_178.nii.gz,1.0,1.0,1.0
BraTS20_Training_181.nii.gz,1.0,1.0,1.0
BraTS20_Training_191.nii.gz,2.8284271247461903,3.0,1.4142135623730951
BraTS20_Training_198.nii.gz,1.4142135623730951,3.7416573867739413,1.4142135623730951
BraTS20_Training_214.nii.gz,1.0,1.4142135623730951,1.7320508075688772
BraTS20_Training_229.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_238.nii.gz,6.782329983125268,2.0,7.211102550927978
BraTS20_Training_241.nii.gz,1.4142135623730951,2.0,2.0
BraTS20_Training_254.nii.gz,1.0,1.7320508075688772,1.0
BraTS20_Training_255.nii.gz,1.4142135623730951,1.4142135623730951,2.0
BraTS20_Training_256.nii.gz,3.0,3.1622776601683795,3.1622776601683795
BraTS20_Training_261.nii.gz,2.8284271247461903,9.055385138137417,24.041630560342615
BraTS20_Training_267.nii.gz,3.0,18.33030277982336,2.0
BraTS20_Training_269.nii.gz,2.8284271247461903,4.47213595499958,inf
BraTS20_Training_272.nii.gz,2.0,13.2664991614216,nan
BraTS20_Training_277.nii.gz,16.76305461424021,3.605551275463989,1.0
BraTS20_Training_281.nii.gz,2.23606797749979,5.385164807134504,inf
BraTS20_Training_283.nii.gz,1.4142135623730951,5.830951894845301,5.0
BraTS20_Training_290.nii.gz,6.062071897723665,2.02360679774985,20.721965647655868
BraTS20_Training_294.nii.gz,2.23606797749979,8.48528137423857,inf
BraTS20_Training_296.nii.gz,1.0,6.4031242374328485,15.96553007792081
BraTS20_Training_304.nii.gz,2.449489742783178,3.0,inf
BraTS20_Training_308.nii.gz,5.0990195135927845,11.045361017187261,7.269758788527662
BraTS20_Training_309.nii.gz,3.605551275463989,5.830951894845301,18.41873670828792
BraTS20_Training_311.nii.gz,5.744562646538029,17.916472867168917,1.0
BraTS20_Training_313.nii.gz,3.1622776601683795,4.58257569495584,23.35004134054861
BraTS20_Training_319.nii.gz,1.7320508075688772,3.605551275463989,inf
BraTS20_Training_333.nii.gz,2.0,15.7797338380595,11.575836902790225
BraTS20_Training_336.nii.gz,1.0,1.0,1.0
BraTS20_Training_338.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_339.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_340.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_341.nii.gz,2.0,1.0,1.0
BraTS20_Training_343.nii.gz,3.1622776601683795,1.7320508075688772,1.0
BraTS20_Training_345.nii.gz,8.246211251235321,19.0,6.164414002968976
BraTS20_Training_352.nii.gz,3.0,1.0,1.4142135623730951
BraTS20_Training_355.nii.gz,1.0,1.0,1.0
BraTS20_Training_357.nii.gz,2.0,1.4142135623730951,2.449489742783178
BraTS20_Training_359.nii.gz,1.0,1.0,1.0
BraTS20_Training_369.nii.gz,1.4142135623730951,1.0,1.0
