model,fold,case,region,gt_voxels,pred_voxels,mask_status,hd95_status,hd95_mm
SegMamba_150epochs,0,BraTS20_Training_069.nii.gz,WT,160010,,both_nonempty,finite,19.4164878389476
SegMamba_150epochs,0,BraTS20_Training_069.nii.gz,TC,34929,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_069.nii.gz,ET,15631,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_074.nii.gz,WT,76789,,both_nonempty,finite,6.708203932499369
SegMamba_150epochs,0,BraTS20_Training_074.nii.gz,TC,38451,,both_nonempty,finite,29.939933166085485
SegMamba_150epochs,0,BraTS20_Training_074.nii.gz,ET,22496,,both_nonempty,finite,6.164414002968976
SegMamba_150epochs,0,BraTS20_Training_086.nii.gz,WT,20752,,both_nonempty,finite,80.90735442467513
SegMamba_150epochs,0,BraTS20_Training_086.nii.gz,TC,561,,both_nonempty,finite,110.54049000823285
SegMamba_150epochs,0,BraTS20_Training_086.nii.gz,ET,106,,both_nonempty,finite,111.82776933772836
SegMamba_150epochs,0,BraTS20_Training_088.nii.gz,WT,30654,,both_nonempty,finite,4.358898943540674
SegMamba_150epochs,0,BraTS20_Training_088.nii.gz,TC,11929,,both_nonempty,finite,1.7320508075688772
SegMamba_150epochs,0,BraTS20_Training_088.nii.gz,ET,9619,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_089.nii.gz,WT,130343,,both_nonempty,finite,20.346989949375804
SegMamba_150epochs,0,BraTS20_Training_089.nii.gz,TC,18690,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_089.nii.gz,ET,18581,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_098.nii.gz,WT,144026,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_098.nii.gz,TC,37243,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_098.nii.gz,ET,22052,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_100.nii.gz,WT,135252,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_100.nii.gz,TC,77199,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_100.nii.gz,ET,30015,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_101.nii.gz,WT,71751,,both_nonempty,finite,3.605551275463989
SegMamba_150epochs,0,BraTS20_Training_101.nii.gz,TC,18923,,both_nonempty,finite,3.1622776601683795
SegMamba_150epochs,0,BraTS20_Training_101.nii.gz,ET,13927,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_104.nii.gz,WT,169685,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_104.nii.gz,TC,58801,,both_nonempty,finite,2.23606797749979
SegMamba_150epochs,0,BraTS20_Training_104.nii.gz,ET,35912,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_107.nii.gz,WT,34311,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_107.nii.gz,TC,10136,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_107.nii.gz,ET,9541,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_111.nii.gz,WT,43342,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_111.nii.gz,TC,25950,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_111.nii.gz,ET,17570,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_113.nii.gz,WT,125680,,both_nonempty,finite,9.539392014169456
SegMamba_150epochs,0,BraTS20_Training_113.nii.gz,TC,6597,,both_nonempty,finite,7.3484692283495345
SegMamba_150epochs,0,BraTS20_Training_113.nii.gz,ET,4251,,both_nonempty,finite,12.68857754044952
SegMamba_150epochs,0,BraTS20_Training_114.nii.gz,WT,103304,,both_nonempty,finite,29.732137494637012
SegMamba_150epochs,0,BraTS20_Training_114.nii.gz,TC,51956,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_114.nii.gz,ET,24144,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_116.nii.gz,WT,87535,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_116.nii.gz,TC,37144,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_116.nii.gz,ET,20640,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_131.nii.gz,WT,63061,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_131.nii.gz,TC,9325,,both_nonempty,finite,1.4142135623730951
SegMamba_150epochs,0,BraTS20_Training_131.nii.gz,ET,8219,,both_nonempty,finite,1.0
SegMamba_150epochs,0,BraTS20_Training_137.nii.gz,WT,187570,,both_nonempty,finite,2.0
SegMamba_150epochs,0,BraTS20_Training_137.nii.gz,TC,57699,,both_nonempty,finite,2.0
