case,WT,TC,ET
BraTS20_Training_004.nii.gz,1.4142135623730951,2.23606797749979,1.0
BraTS20_Training_005.nii.gz,3.0,1.0,1.0
BraTS20_Training_009.nii.gz,3.0,4.242640687119285,3.1622776601683795
BraTS20_Training_015.nii.gz,2.0,6.708203932499369,1.0
BraTS20_Training_017.nii.gz,2.0,3.0,1.0
BraTS20_Training_022.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_031.nii.gz,3.0,1.7320508075688772,1.0
BraTS20_Training_034.nii.gz,1.4142135623730951,2.0,1.4142135623730951
BraTS20_Training_043.nii.gz,5.385164807134504,2.8284271247461903,3.1622776601683795
BraTS20_Training_046.nii.gz,17.204650534085253,1.4142135623730951,1.4142135623730951
BraTS20_Training_047.nii.gz,14.247806848775006,1.7320508075688772,1.0
BraTS20_Training_048.nii.gz,15.033296378372908,1.4142135623730951,1.4142135623730951
BraTS20_Training_054.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_055.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_058.nii.gz,8.602325267042627,4.123105625617661,3.605551275463989
BraTS20_Training_068.nii.gz,1.7320508075688772,3.0,1.0
BraTS20_Training_072.nii.gz,7.0710678118654755,2.23606797749979,1.4142135623730951
BraTS20_Training_076.nii.gz,2.0,2.23606797749979,1.0
BraTS20_Training_091.nii.gz,5.385164807134504,1.0,1.0
BraTS20_Training_102.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_115.nii.gz,1.0,1.0,1.0
BraTS20_Training_121.nii.gz,1.0,1.0,1.0
BraTS20_Training_129.nii.gz,3.605551275463989,3.0,1.4142135623730951
BraTS20_Training_133.nii.gz,3.0,23.03909556817318,1.4142135623730951
BraTS20_Training_135.nii.gz,2.8284271247461903,9.16515138991168,2.23606797749979
BraTS20_Training_136.nii.gz,6.0,10.723805294763608,9.219544457292887
BraTS20_Training_142.nii.gz,1.4142135623730951,1.0,1.7320508075688772
BraTS20_Training_149.nii.gz,3.1622776601683795,4.123105625617661,1.4142135623730951
BraTS20_Training_153.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_158.nii.gz,5.385164807134504,6.082762530298219,2.0
BraTS20_Training_159.nii.gz,13.74772708486752,2.23606797749979,3.1622776601683795
BraTS20_Training_161.nii.gz,1.4142135623730951,2.0,1.0
BraTS20_Training_166.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_169.nii.gz,2.449489742783178,1.0,1.0
BraTS20_Training_178.nii.gz,1.0,1.0,1.0
BraTS20_Training_181.nii.gz,1.0,1.0,1.0
BraTS20_Training_191.nii.gz,2.8284271247461903,2.8284271247461903,2.0
BraTS20_Training_198.nii.gz,1.4142135623730951,3.3166247903554,1.4142135623730951
BraTS20_Training_214.nii.gz,1.0,1.4142135623730951,2.0
BraTS20_Training_229.nii.gz,1.0,1.0,1.0
BraTS20_Training_238.nii.gz,8.54400374531753,1.4142135623730951,7.0
BraTS20_Training_241.nii.gz,2.0,1.7320508075688772,1.4142135623730951
BraTS20_Training_254.nii.gz,1.0,1.7320508075688772,1.0
BraTS20_Training_255.nii.gz,1.4142135623730951,1.4142135623730951,1.7320508075688772
BraTS20_Training_256.nii.gz,2.8284271247461903,3.3166247903554,2.449489742783178
BraTS20_Training_261.nii.gz,2.8284271247461903,9.1104335791443,18.411952639521967
BraTS20_Training_267.nii.gz,3.3166247903554,10.344080432788601,1.7320508075688772
BraTS20_Training_269.nii.gz,3.0,4.123105625617661,inf
BraTS20_Training_272.nii.gz,1.4142135623730951,4.898979485566356,nan
BraTS20_Training_277.nii.gz,14.491376746189438,3.4641016151377544,1.0
BraTS20_Training_281.nii.gz,2.23606797749979,18.466185312619388,inf
BraTS20_Training_283.nii.gz,1.4142135623730951,4.898979485566356,3.4641016151377544
BraTS20_Training_290.nii.gz,5.196152422706632,2.23606797749979,20.451114559296272
BraTS20_Training_294.nii.gz,2.23606797749979,7.874007874011811,inf
BraTS20_Training_296.nii.gz,1.4142135623730951,4.242640687119285,18.407876190221167
BraTS20_Training_304.nii.gz,3.0,3.4641016151377544,inf
BraTS20_Training_308.nii.gz,5.0,9.1104335791443,4.898979485566356
BraTS20_Training_309.nii.gz,3.4641016151377544,6.4031242374328485,14.974916106437835
BraTS20_Training_311.nii.gz,6.4031242374328485,18.12732239884015,1.0
BraTS20_Training_313.nii.gz,3.0,4.58257569495584,26.131000538773204
BraTS20_Training_319.nii.gz,1.4142135623730951,3.7416573867739413,inf
BraTS20_Training_333.nii.gz,1.4142135623730951,15.674813751700151,11.789826122551595
BraTS20_Training_336.nii.gz,1.0,1.0,1.0
BraTS20_Training_338.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_339.nii.gz,2.0,1.0,1.0
BraTS20_Training_340.nii.gz,1.0,1.0,1.0
BraTS20_Training_341.nii.gz,2.8284271247461903,1.0,1.0
BraTS20_Training_343.nii.gz,3.1622776601683795,1.7320508075688772,1.0
BraTS20_Training_345.nii.gz,12.36931687685298,16.35083445525005,5.0990195135927845
BraTS20_Training_352.nii.gz,3.7416573867739413,1.0,1.4142135623730951
BraTS20_Training_355.nii.gz,1.0,1.0,1.0
BraTS20_Training_357.nii.gz,2.23606797749979,2.0,2.0
BraTS20_Training_359.nii.gz,1.0,1.0,1.0
BraTS20_Training_369.nii.gz,1.0,1.0,1.0
