case,WT,TC,ET
BraTS20_Training_002.nii.gz,4.123105625617661,1.0,1.0
BraTS20_Training_008.nii.gz,6.164414002968976,9.486832980505138,9.646236208684938
BraTS20_Training_010.nii.gz,3.1622776601683795,1.4142135623730951,2.0
BraTS20_Training_016.nii.gz,3.0,4.69041575982343,3.1622776601683795
BraTS20_Training_018.nii.gz,3.605551275463989,12.551876638250834,12.34097466721245
BraTS20_Training_026.nii.gz,2.449489742783178,3.0,3.605551275463989
BraTS20_Training_027.nii.gz,8.48528137423857,2.23606797749979,1.0
BraTS20_Training_038.nii.gz,2.23606797749979,3.0,1.0
BraTS20_Training_040.nii.gz,1.7320508075688772,1.4142135623730951,1.0
BraTS20_Training_045.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_050.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_057.nii.gz,2.449489742783178,1.4142135623730951,1.0
BraTS20_Training_061.nii.gz,2.23606797749979,1.4142135623730951,1.0
BraTS20_Training_067.nii.gz,1.4142135623730951,1.0,1.4142135623730951
BraTS20_Training_071.nii.gz,8.774964387392123,11.704699910719626,3.7416573867739413
BraTS20_Training_090.nii.gz,2.0,1.0,1.0
BraTS20_Training_093.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_094.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_096.nii.gz,1.0,1.4142135623730951,1.0
BraTS20_Training_105.nii.gz,3.1622776601683795,1.0,1.0
BraTS20_Training_118.nii.gz,1.0,1.0,1.0
BraTS20_Training_123.nii.gz,4.123105625617661,6.708203932499369,1.0
BraTS20_Training_124.nii.gz,1.0,1.0,1.0
BraTS20_Training_128.nii.gz,2.23606797749979,6.708203932499369,7.204135138689456
BraTS20_Training_141.nii.gz,3.4641016151377544,7.0,11.732261072764143
BraTS20_Training_146.nii.gz,2.23606797749979,1.4142135623730951,1.0
BraTS20_Training_148.nii.gz,12.68857754044952,72.94518489934754,74.65922581972036
BraTS20_Training_151.nii.gz,1.0,1.0,1.0
BraTS20_Training_152.nii.gz,1.0,1.0,1.0
BraTS20_Training_157.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_160.nii.gz,10.677078252031311,4.47213595499958,2.23606797749979
BraTS20_Training_163.nii.gz,1.0,2.23606797749979,2.0
BraTS20_Training_180.nii.gz,37.16180835212409,1.4142135623730951,1.4142135623730951
BraTS20_Training_182.nii.gz,2.449489742783178,1.0,1.0
BraTS20_Training_188.nii.gz,9.433981132056603,1.7320508075688772,1.4142135623730951
BraTS20_Training_189.nii.gz,2.0,1.0,1.0
BraTS20_Training_196.nii.gz,1.7320508075688772,1.4142135623730951,1.0
BraTS20_Training_199.nii.gz,1.4142135623730951,2.23606797749979,2.0
BraTS20_Training_206.nii.gz,7.0710678118654755,1.0,1.0
BraTS20_Training_221.nii.gz,1.4142135623730951,1.7320508075688772,1.4142135623730951
BraTS20_Training_222.nii.gz,1.4142135623730951,2.0,1.0
BraTS20_Training_231.nii.gz,1.0,1.4142135623730951,2.0
BraTS20_Training_235.nii.gz,2.23606797749979,2.23606797749979,1.0
BraTS20_Training_239.nii.gz,4.47213595499958,6.782329983125268,5.0
BraTS20_Training_247.nii.gz,4.58257569495584,1.4142135623730951,1.0
BraTS20_Training_250.nii.gz,3.7416573867739413,2.8284271247461903,1.4142135623730951
BraTS20_Training_257.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_263.nii.gz,3.0,15.089723961374853,inf
BraTS20_Training_270.nii.gz,1.0,1.0,1.0
BraTS20_Training_271.nii.gz,2.8284271247461903,1.0,14.035668847618199
BraTS20_Training_273.nii.gz,16.401219466856727,4.0,14.582433931930582
BraTS20_Training_275.nii.gz,62.849025449882674,73.38255923582933,nan
BraTS20_Training_276.nii.gz,5.0,1.0,1.0
BraTS20_Training_285.nii.gz,4.123105625617661,3.0,3.4641016151377544
BraTS20_Training_293.nii.gz,6.48074069840786,14.035668847618199,1.4142135623730951
BraTS20_Training_300.nii.gz,2.23606797749979,9.38083151964686,1.0
BraTS20_Training_301.nii.gz,6.0,13.86361396633067,5.385164807134504
BraTS20_Training_307.nii.gz,5.0990195135927845,3.7416573867739413,25.081351507414297
BraTS20_Training_312.nii.gz,4.47213595499958,15.165750888103101,inf
BraTS20_Training_317.nii.gz,1.4142135623730951,2.8284271247461903,1.0
BraTS20_Training_320.nii.gz,13.30413469565007,3.0,3.605551275463989
BraTS20_Training_321.nii.gz,2.0,4.0,nan
BraTS20_Training_322.nii.gz,1.7320508075688772,2.23606797749979,10.8246167135583
BraTS20_Training_326.nii.gz,5.385164807134504,17.320508075688775,7.3484692283495345
BraTS20_Training_334.nii.gz,2.0,2.23606797749979,2.23606797749979
BraTS20_Training_346.nii.gz,1.0,1.0,1.0
BraTS20_Training_347.nii.gz,1.0,1.0,1.0
BraTS20_Training_350.nii.gz,1.0,1.0,1.0
BraTS20_Training_351.nii.gz,1.0,1.0,1.0
BraTS20_Training_354.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_356.nii.gz,5.196152422706632,1.4142135623730951,1.0
BraTS20_Training_361.nii.gz,3.605551275463989,27.60434748368452,18.859995460507477
BraTS20_Training_362.nii.gz,1.4142135623730951,1.4142135623730951,1.0
BraTS20_Training_364.nii.gz,1.0,2.0,1.0
