case,WT,TC,ET
BraTS20_Training_004.nii.gz,1.4142135623730951,2.449489742783178,1.0
BraTS20_Training_005.nii.gz,5.477225575051661,5.385164807134504,6.0
BraTS20_Training_009.nii.gz,3.0,4.242640687119285,3.1622776601683795
BraTS20_Training_015.nii.gz,2.0,6.708203932499369,1.0
BraTS20_Training_017.nii.gz,2.0,2.8284271247461903,1.0
BraTS20_Training_022.nii.gz,1.4142135623730951,2.0,1.0
BraTS20_Training_031.nii.gz,3.0,1.4142135623730951,1.0
BraTS20_Training_034.nii.gz,1.4142135623730951,2.0,1.4142135623730951
BraTS20_Training_043.nii.gz,5.656854249492381,2.449489742783178,3.23945122526189
BraTS20_Training_046.nii.gz,18.411952639521967,1.4142135623730951,1.4142135623730951
BraTS20_Training_047.nii.gz,4.898979485566356,1.7320508075688772,1.0
BraTS20_Training_048.nii.gz,15.0,1.4142135623730951,1.4142135623730951
BraTS20_Training_054.nii.gz,2.0,2.0,1.0
BraTS20_Training_055.nii.gz,2.23606797749979,1.0,1.0
BraTS20_Training_058.nii.gz,7.483314773547883,10.677078252031311,12.569805089976535
BraTS20_Training_068.nii.gz,1.7320508075688772,3.0,1.0
BraTS20_Training_072.nii.gz,7.0710678118654755,2.449489742783178,1.4142135623730951
BraTS20_Training_076.nii.gz,2.23606797749979,2.449489742783178,1.4142135623730951
BraTS20_Training_091.nii.gz,9.0,1.0,1.0
BraTS20_Training_102.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_115.nii.gz,1.0,1.0,1.0
BraTS20_Training_121.nii.gz,1.0,1.0,1.0
BraTS20_Training_129.nii.gz,3.0,2.23606797749979,1.4142135623730951
BraTS20_Training_133.nii.gz,3.0,23.08679276123039,1.4142135623730951
BraTS20_Training_135.nii.gz,2.8284271247461903,7.280109889280518,3.0
BraTS20_Training_136.nii.gz,11.445523142259598,19.877106766748426,18.193405398660254
BraTS20_Training_142.nii.gz,1.4142135623730951,1.0,3.0
BraTS20_Training_149.nii.gz,3.0,4.123105625617661,2.0
BraTS20_Training_153.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_158.nii.gz,8.366600265340756,2.23606797749979,2.449489742783178
BraTS20_Training_159.nii.gz,16.0312195418814,1.7320508075688772,3.1622776601683795
BraTS20_Training_161.nii.gz,1.7320508075688772,2.0,1.0
BraTS20_Training_166.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_169.nii.gz,6.48074069840786,1.0,1.0
BraTS20_Training_178.nii.gz,1.0,1.0,1.0
BraTS20_Training_181.nii.gz,1.0,1.0,1.0
BraTS20_Training_191.nii.gz,2.8284271247461903,2.449489742783178,1.4142135623730951
BraTS20_Training_198.nii.gz,1.4142135623730951,3.605551275463989,1.4142135623730951
BraTS20_Training_214.nii.gz,1.0,1.4142135623730951,1.7320508075688772
BraTS20_Training_229.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_238.nii.gz,5.656854249492381,1.7320508075688772,7.280109889280518
BraTS20_Training_241.nii.gz,1.7320508075688772,2.0,1.7320508075688772
BraTS20_Training_254.nii.gz,1.0,1.7320508075688772,1.0
BraTS20_Training_255.nii.gz,1.4142135623730951,1.4142135623730951,1.7320508075688772
BraTS20_Training_256.nii.gz,3.0,3.0,3.0
BraTS20_Training_261.nii.gz,2.449489742783178,9.0,17.127457669424196
BraTS20_Training_267.nii.gz,3.0,17.146428199482248,2.23606797749979
BraTS20_Training_269.nii.gz,2.8284271247461903,7.211102550927978,inf
BraTS20_Training_272.nii.gz,1.4142135623730951,5.0,nan
BraTS20_Training_277.nii.gz,17.204650534085253,3.3166247903554,1.0
BraTS20_Training_281.nii.gz,2.23606797749979,22.15851980616034,inf
BraTS20_Training_283.nii.gz,1.4142135623730951,3.605551275463989,2.8284271247461903
BraTS20_Training_290.nii.gz,6.082762530298219,1.0,2.0
BraTS20_Training_294.nii.gz,3.0,7.483314773547883,inf
BraTS20_Training_296.nii.gz,1.7320508075688772,5.744562646538029,13.2664991614216
BraTS20_Training_304.nii.gz,3.0,4.123105625617661,inf
BraTS20_Training_308.nii.gz,5.0990195135927845,9.643650760992955,6.0
BraTS20_Training_309.nii.gz,3.3166247903554,5.744562646538029,37.98683070485052
BraTS20_Training_311.nii.gz,5.477225575051661,18.920887928424502,1.0
BraTS20_Training_313.nii.gz,3.3166247903554,5.0,24.80821731500752
BraTS20_Training_319.nii.gz,1.7320508075688772,3.3166247903554,inf
BraTS20_Training_333.nii.gz,2.0,16.0312195418814,14.247806848775006
BraTS20_Training_336.nii.gz,1.0,1.0,1.0
BraTS20_Training_338.nii.gz,1.4142135623730951,1.0,1.0
BraTS20_Training_339.nii.gz,1.7320508075688772,1.0,1.0
BraTS20_Training_340.nii.gz,23.874672772626646,1.0,1.0
BraTS20_Training_341.nii.gz,2.0,1.0,1.0
BraTS20_Training_343.nii.gz,3.3166247903554,1.7320508075688772,1.0
BraTS20_Training_345.nii.gz,10.04987562112089,16.519682727919527,5.385164807134504
BraTS20_Training_352.nii.gz,3.0,1.0,1.4142135623730951
BraTS20_Training_355.nii.gz,1.0,1.0,1.0
BraTS20_Training_357.nii.gz,2.23606797749979,5.118446095415624,4.123105625617661
BraTS20_Training_359.nii.gz,1.0,1.0,1.0
BraTS20_Training_369.nii.gz,1.0,1.4142135623730951,1.0
